alpha_2,alpha_3,language_name_english,language_name_native,language_status,is_living_language,direction,generated_locales
,ace,Achinese,,living,true,ltr,ace-ID
,ach,Acoli,,living,true,ltr,ach-UG
,ada,Adangme,,living,true,ltr,ada-GH
,ady,Adyghe,,living,true,ltr,ady-RU
,afa,Afro-Asiatic languages,,living,true,ltr,
,afh,Afrihili,,living,true,ltr,afh-GH
,ain,Ainu,,living,true,ltr,ain-JP
,akk,Akkadian,,living,true,ltr,akk-IQ
,ale,Aleut,,living,true,ltr,ale-US
,alg,Algonquian languages,,living,true,ltr,
,alt,Southern Altai,,living,true,ltr,alt-RU
,ang,"English, Old (ca.450-1100)",,living,true,ltr,ang-GB
,anp,Angika,,living,true,ltr,anp-IN
,apa,Apache languages,,living,true,ltr,
,arc,Official Aramaic (700-300 BCE),,living,true,ltr,arc-IR
,arn,Mapudungun,,living,true,ltr,arn-CL
,arp,Arapaho,,living,true,ltr,arp-US
,art,Artificial languages,,constructed,false,ltr,
,arw,Arawak,,living,true,ltr,arw-SR
,ast,Asturian,,living,true,ltr,ast-ES
,ath,Athapascan languages,,living,true,ltr,
,aus,Australian languages,,living,true,ltr,
,awa,Awadhi,,living,true,ltr,awa-IN
,bad,Banda languages,,living,true,ltr,
,bai,Bamileke languages,,living,true,ltr,
,bal,Baluchi,,living,true,ltr,bal-PK
,ban,Balinese,,living,true,ltr,ban-ID
,bas,Basa,,living,true,ltr,bas-CM
,bat,Baltic languages,,living,true,ltr,
,bej,Beja,,living,true,ltr,bej-SD
,bem,Bemba,,living,true,ltr,bem-ZM
,ber,Berber languages,,living,true,ltr,
,bho,Bhojpuri,,living,true,ltr,bho-IN
,bih,Bihari languages,,living,true,ltr,
,bik,Bikol,,living,true,ltr,bik-PH
,bin,Bini,,living,true,ltr,bin-NG
,bla,Siksika,,living,true,ltr,bla-CA
,bnt,Bantu languages,,living,true,ltr,
,bra,Braj,,living,true,ltr,bra-IN
,btk,Batak languages,,living,true,ltr,
,bua,Buriat,,living,true,ltr,bua-RU
