alpha_2,alpha_3,language_name_english,language_name_native,language_status,is_living_language,direction,generated_locales
aa,aar,Afar,,living,true,ltr,aa-ET
ab,abk,Abkhazian,,living,true,ltr,ab-GE
,ace,Achinese,,living,true,ltr,ace-ID
,ach,Acoli,,living,true,ltr,ach-UG
,ada,Adangme,,living,true,ltr,ada-GH
,ady,Adyghe,,living,true,ltr,ady-RU
,afa,Afro-Asiatic languages,,living,true,ltr,
,afh,Afrihili,,living,true,ltr,afh-GH
af,afr,Afrikaans,,living,true,ltr,af-ZA
,ain,Ainu,,living,true,ltr,ain-JP
ak,aka,Akan,,living,true,ltr,ak-GH
,akk,Akkadian,,living,true,ltr,akk-IQ
sq,sqi,Albanian,,living,true,ltr,sq-AL
,ale,Aleut,,living,true,ltr,ale-US
,alg,Algonquian languages,,living,true,ltr,
,alt,Southern Altai,,living,true,ltr,alt-RU
am,amh,Amharic,,living,true,ltr,am-ET
,ang,"English, Old (ca.450-1100)",,living,true,ltr,ang-GB
,anp,Angika,,living,true,ltr,anp-IN
,apa,Apache languages,,living,true,ltr,
ar,ara,Arabic,العربية,living,true,rtl,ar-EG
,arc,Official Aramaic (700-300 BCE),,living,true,ltr,arc-IR
an,arg,Aragonese,,living,true,ltr,an-ES
hy,hye,Armenian,,living,true,ltr,hy-AM
,arn,Mapudungun,,living,true,ltr,arn-CL
,arp,Arapaho,,living,true,ltr,arp-US
,art,Artificial languages,,constructed,false,ltr,
,arw,Arawak,,living,true,ltr,arw-SR
as,asm,Assamese,,living,true,ltr,as-IN
,ast,Asturian,,living,true,ltr,ast-ES
,ath,Athapascan languages,,living,true,ltr,
,aus,Australian languages,,living,true,ltr,
av,ava,Avaric,,living,true,ltr,av-RU
ae,ave,Avestan,,living,true,ltr,ae-IR
,awa,Awadhi,,living,true,ltr,awa-IN
ay,aym,Aymara,,living,true,ltr,ay-BO
az,aze,Azerbaijani,,living,true,ltr,az-AZ
,bad,Banda languages,,living,true,ltr,
,bai,Bamileke languages,,living,true,ltr,
ba,bak,Bashkir,,living,true,ltr,ba-RU
,bal,Baluchi,,living,true,ltr,bal-PK
bm,bam,Bambara,,living,true,ltr,bm-ML
,ban,Balinese,,living,true,ltr,ban-ID
eu,eus,Basque,,living,true,ltr,eu-ES
,bas,Basa,,living,true,ltr,bas-CM
,bat,Baltic languages,,living,true,ltr,
,bej,Beja,,living,true,ltr,bej-SD
be,bel,Belarusian,,living,true,ltr,be-BY
,bem,Bemba,,living,true,ltr,bem-ZM
bn,ben,Bengali,,living,true,ltr,bn-BD
,ber,Berber languages,,living,true,ltr,
,bho,Bhojpuri,,living,true,ltr,bho-IN
,bih,Bihari languages,,living,true,ltr,
,bik,Bikol,,living,true,ltr,bik-PH
,bin,Bini,,living,true,ltr,bin-NG
bi,bis,Bislama,,living,true,ltr,bi-VU
,bla,Siksika,,living,true,ltr,bla-CA
,bnt,Bantu languages,,living,true,ltr,
bo,bod,Tibetan,,living,true,ltr,bo-CN
bs,bos,Bosnian,,living,true,ltr,bs-BA
,bra,Braj,,living,true,ltr,bra-IN
br,bre,Breton,,living,true,ltr,br-FR
,btk,Batak languages,,living,true,ltr,
,bua,Buriat,,living,true,ltr,bua-RU
,bug,Buginese,,living,true,ltr,bug-ID
bg,bul,Bulgarian,,living,true,ltr,bg-BG
my,mya,Burmese,,living,true,ltr,my-MM
,byn,Blin,,living,true,ltr,byn-ER
,cad,Caddo,,living,true,ltr,cad-US
,cai,Central American Indian languages,,living,true,ltr,
,car,Galibi Carib,,living,true,ltr,car-VE
ca,cat,Catalan,,living,true,ltr,ca-ES
,cau,Caucasian languages,,living,true,ltr,
,ceb,Cebuano,,living,true,ltr,ceb-PH
,cel,Celtic languages,,living,true,ltr,
cs,ces,Czech,,living,true,ltr,cs-CZ
ch,cha,Chamorro,,living,true,ltr,ch-GU
,chb,Chibcha,,living,true,ltr,chb-CO
ce,che,Chechen,,living,true,ltr,ce-RU
,chg,Chagatai,,living,true,ltr,chg-TM
zh,zho,Chinese,中文,living,true,ltr,zh-CN
,chk,Chuukese,,living,true,ltr,chk-FM
,chm,Mari,,living,true,ltr,chm-RU
,chn,Chinook jargon,,living,true,ltr,chn-US
,cho,Choctaw,,living,true,ltr,cho-US
,chp,Chipewyan,,living,true,ltr,chp-CA
,chr,Cherokee,,living,true,ltr,chr-US
cu,chu,Church Slavic,,living,true,ltr,cu-RU
cv,chv,Chuvash,,living,true,ltr,cv-RU
,chy,Cheyenne,,living,true,ltr,chy-US
,cmc,Chamic languages,,living,true,ltr,
,cnr,Montenegrin,,living,true,ltr,
,cop,Coptic,,living,true,ltr,cop-EG
kw,cor,Cornish,,living,true,ltr,kw-GB
co,cos,Corsican,,living,true,ltr,co-FR
,cpe,"Creoles and pidgins, English based",,living,true,ltr,
,cpf,"Creoles and pidgins, French-based",,living,true,ltr,
,cpp,"Creoles and pidgins, Portuguese-based",,living,true,ltr,
cr,cre,Cree,,living,true,ltr,cr-CA
,crh,Crimean Tatar,,living,true,ltr,crh-UA
,crp,Creoles and pidgins,,living,true,ltr,
,csb,Kashubian,,living,true,ltr,csb-PL
,cus,Cushitic languages,,living,true,ltr,
cy,cym,Welsh,,living,true,ltr,cy-GB
,dak,Dakota,,living,true,ltr,dak-US
da,dan,Danish,Dansk,living,true,ltr,da-DK
,dar,Dargwa,,living,true,ltr,dar-RU
,day,Land Dayak languages,,living,true,ltr,
,del,Delaware,,living,true,ltr,del-US
,den,Slave (Athapascan),,living,true,ltr,den-CA
de,deu,German,Deutsch,living,true,ltr,de-DE
,dgr,Tlicho,,living,true,ltr,dgr-CA
,din,Dinka,,living,true,ltr,din-SS
dv,div,Divehi,,living,true,ltr,dv-MV
,doi,Dogri (macrolanguage),,living,true,ltr,doi-IN
,dra,Dravidian languages,,living,true,ltr,
,dsb,Lower Sorbian,,living,true,ltr,dsb-DE
,dua,Duala,,living,true,ltr,dua-CM
,dum,"Dutch, Middle (ca.1050-1350)",,living,true,ltr,dum-NL
nl,nld,Dutch,Nederlands,living,true,ltr,nl-NL
,dyu,Dyula,,living,true,ltr,dyu-BF
dz,dzo,Dzongkha,,living,true,ltr,dz-BT
,efi,Efik,,living,true,ltr,efi-NG
,egy,Egyptian (Ancient),,ancient,false,ltr,egy-EG
,eka,Ekajuk,,living,true,ltr,eka-NG
el,ell,Modern Greek (1453-),Ελληνικά,living,true,ltr,el-GR
,elx,Elamite,,living,true,ltr,
en,eng,English,English,living,true,ltr,en-US
,enm,"English, Middle (1100-1500)",,living,true,ltr,enm-GB
eo,epo,Esperanto,,living,true,ltr,eo-001
et,est,Estonian,,living,true,ltr,et-EE
ee,ewe,Ewe,,living,true,ltr,ee-GH
,ewo,Ewondo,,living,true,ltr,ewo-CM
,fan,Fang,,living,true,ltr,fan-GQ
fo,fao,Faroese,,living,true,ltr,fo-FO
fa,fas,Persian,فارسی,living,true,rtl,fa-IR
,fat,Fanti,,living,true,ltr,
fj,fij,Fijian,,living,true,ltr,fj-FJ
,fil,Filipino,,living,true,ltr,fil-PH
fi,fin,Finnish,Suomi,living,true,ltr,fi-FI
,fiu,Finno-Ugrian languages,,living,true,ltr,
,fon,Fon,,living,true,ltr,fon-BJ
fr,fra,French,Français,living,true,ltr,fr-FR
,frm,"French, Middle (ca.1400-1600)",,living,true,ltr,frm-FR
,fro,"French, Old (842-ca.1400)",,living,true,ltr,fro-FR
,frr,Northern Frisian,,living,true,ltr,frr-DE
,frs,Eastern Frisian,,living,true,ltr,frs-DE
fy,fry,Western Frisian,,living,true,ltr,fy-NL
ff,ful,Fulah,,living,true,ltr,ff-SN
,fur,Friulian,,living,true,ltr,fur-IT
,gaa,Ga,,living,true,ltr,gaa-GH
,gay,Gayo,,living,true,ltr,gay-ID
,gba,Gbaya,,living,true,ltr,gba-CF
,gem,Germanic languages,,living,true,ltr,
ka,kat,Georgian,,living,true,ltr,ka-GE
,gez,Geez,,living,true,ltr,gez-ET
,gil,Gilbertese,,living,true,ltr,gil-KI
gd,gla,Gaelic,,living,true,ltr,gd-GB
